"No.","Protocol","Direction","CAN length","Time","CAN id","CAN message","Info"
"78","CAN","Broadcast","8","0.109000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"79","CAN","Broadcast","8","0.109000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"80","CAN","Broadcast","8","0.109000","0x260","00ffff0000005f3d","STD: 0x00000260   00 ff ff 00 00 00 5f 3d"
"81","CAN","Broadcast","8","0.109000","0x2a0","e000750000000000","STD: 0x000002a0   e0 00 75 00 00 00 00 00"
"82","CAN","Broadcast","8","0.109000","0x329","ce787c0a1131000a","STD: 0x00000329   ce 78 7c 0a 11 31 00 0a"
"83","CAN","Broadcast","8","0.109000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"84","CAN","Broadcast","8","0.125000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"85","CAN","Broadcast","8","0.125000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"86","CAN","Broadcast","8","0.125000","0x260","00ffff0000005f00","STD: 0x00000260   00 ff ff 00 00 00 5f 00"
"87","CAN","Broadcast","8","0.125000","0x2a0","8000750000000000","STD: 0x000002a0   80 00 75 00 00 00 00 00"
"88","CAN","Broadcast","8","0.125000","0x0a0","0052000000260000","STD: 0x000000a0   00 52 00 00 00 26 00 00"
"89","CAN","Broadcast","8","0.125000","0x0a1","8080000063000000","STD: 0x000000a1   80 80 00 00 63 00 00 00"
"90","CAN","Broadcast","8","0.125000","0x329","ce787c0a1131000a","STD: 0x00000329   ce 78 7c 0a 11 31 00 0a"
"91","CAN","Broadcast","8","0.125000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"92","CAN","Broadcast","8","0.125000","0x580","0000000000000000","STD: 0x00000580   00 00 00 00 00 00 00 00"
"93","CAN","Broadcast","8","0.125000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"94","CAN","Broadcast","8","0.125000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"95","CAN","Broadcast","8","0.125000","0x260","00ffff0000005f1f","STD: 0x00000260   00 ff ff 00 00 00 5f 1f"
"96","CAN","Broadcast","8","0.125000","0x2a0","2000750000000000","STD: 0x000002a0   20 00 75 00 00 00 00 00"
"97","CAN","Broadcast","8","0.125000","0x329","ce787c0a1131000a","STD: 0x00000329   ce 78 7c 0a 11 31 00 0a"
"98","CAN","Broadcast","8","0.125000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"99","CAN","Broadcast","8","0.141000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"100","CAN","Broadcast","8","0.141000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"101","CAN","Broadcast","8","0.141000","0x260","00ffff0000005f2e","STD: 0x00000260   00 ff ff 00 00 00 5f 2e"
"102","CAN","Broadcast","8","0.141000","0x2a0","4000750000000000","STD: 0x000002a0   40 00 75 00 00 00 00 00"
"103","CAN","Broadcast","8","0.141000","0x329","ce787c0a1131000a","STD: 0x00000329   ce 78 7c 0a 11 31 00 0a"
"104","CAN","Broadcast","8","0.141000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"105","CAN","Broadcast","8","0.141000","0x580","0000000000000000","STD: 0x00000580   00 00 00 00 00 00 00 00"
"106","CAN","Broadcast","8","0.141000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
